response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0018,0.0000,0.0000,0.0000,0.0015,0.0002,200,0.0442
0.0148,0.0000,0.0000,0.0000,0.0146,0.0001,200,0.0323
0.0424,0.0004,0.0000,0.0003,0.0416,0.0000,200,0.0058
0.0154,0.0000,0.0000,0.0000,0.0150,0.0000,200,0.0340
0.0204,0.0000,0.0000,0.0000,0.0203,0.0001,200,0.0299
0.0422,0.0001,0.0000,0.0000,0.0420,0.0000,200,0.0092
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.0448
0.0072,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.0448
0.0090,0.0000,0.0000,0.0000,0.0089,0.0001,200,0.0437
0.0105,0.0000,0.0000,0.0000,0.0103,0.0001,200,0.0433
0.0205,0.0000,0.0000,0.0000,0.0204,0.0000,200,0.0333
0.0304,0.0000,0.0000,0.0001,0.0300,0.0001,200,0.0240
0.0120,0.0000,0.0000,0.0000,0.0118,0.0001,200,0.0432
0.0157,0.0000,0.0000,0.0000,0.0156,0.0000,200,0.0407
0.0105,0.0000,0.0000,0.0000,0.0103,0.0000,200,0.0458
0.0204,0.0000,0.0000,0.0000,0.0204,0.0000,200,0.0359
0.0450,0.0005,0.0000,0.0001,0.0442,0.0000,200,0.0114
0.0492,0.0010,0.0000,0.0022,0.0459,0.0000,200,0.0085
0.0097,0.0000,0.0000,0.0000,0.0096,0.0000,200,0.0495
0.0271,0.0000,0.0000,0.0000,0.0268,0.0000,200,0.0321
0.0360,0.0000,0.0000,0.0001,0.0354,0.0000,200,0.0234
0.0067,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0527
0.0217,0.0000,0.0000,0.0000,0.0217,0.0000,200,0.0377
0.0325,0.0000,0.0000,0.0000,0.0324,0.0001,200,0.0270
0.0518,0.0014,0.0000,0.0023,0.0480,0.0001,200,0.0082
0.0214,0.0000,0.0000,0.0000,0.0214,0.0000,200,0.0390
0.0073,0.0000,0.0000,0.0000,0.0064,0.0004,200,0.0538
0.0049,0.0000,0.0000,0.0001,0.0047,0.0001,200,0.0563
0.0176,0.0000,0.0000,0.0000,0.0174,0.0001,200,0.0440
0.0216,0.0000,0.0000,0.0000,0.0214,0.0002,200,0.0401
0.0504,0.0003,0.0000,0.0002,0.0499,0.0000,200,0.0117
0.0380,0.0000,0.0000,0.0003,0.0373,0.0000,200,0.0249
0.0589,0.0013,0.0000,0.0006,0.0566,0.0002,200,0.0044
0.0019,0.0000,0.0000,0.0000,0.0017,0.0001,200,0.0618
0.0179,0.0000,0.0000,0.0000,0.0177,0.0001,200,0.0460
0.0228,0.0000,0.0000,0.0000,0.0227,0.0000,200,0.0414
0.0109,0.0000,0.0000,0.0004,0.0104,0.0001,200,0.0538
0.0052,0.0000,0.0000,0.0000,0.0051,0.0001,200,0.0599
0.0412,0.0000,0.0000,0.0006,0.0406,0.0000,200,0.0240
0.0365,0.0000,0.0000,0.0000,0.0361,0.0004,200,0.0299
0.0380,0.0000,0.0000,0.0000,0.0379,0.0001,200,0.0284
0.0108,0.0000,0.0000,0.0000,0.0107,0.0000,200,0.0563
0.0260,0.0000,0.0000,0.0000,0.0259,0.0001,200,0.0414
0.0029,0.0000,0.0000,0.0000,0.0022,0.0006,200,0.0647
