response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0020,0.0000,0.0000,0.0000,0.0019,0.0001,200,0.0319
0.0189,0.0000,0.0000,0.0005,0.0182,0.0000,200,0.0151
0.0164,0.0000,0.0000,0.0001,0.0163,0.0000,200,0.0179
0.0069,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.0277
0.0075,0.0000,0.0000,0.0000,0.0073,0.0001,200,0.0276
0.0083,0.0000,0.0000,0.0000,0.0082,0.0000,200,0.0274
0.0344,0.0064,0.0000,0.0000,0.0220,0.0001,200,0.0015
0.0027,0.0000,0.0000,0.0000,0.0027,0.0000,200,0.0336
0.0053,0.0000,0.0000,0.0000,0.0052,0.0000,200,0.0314
0.0170,0.0000,0.0000,0.0000,0.0169,0.0000,200,0.0200
0.0083,0.0000,0.0000,0.0000,0.0082,0.0000,200,0.0300
0.0160,0.0000,0.0000,0.0000,0.0159,0.0000,200,0.0224
0.0108,0.0000,0.0000,0.0000,0.0108,0.0000,200,0.0275
0.0036,0.0000,0.0000,0.0000,0.0033,0.0002,200,0.0350
0.0162,0.0000,0.0000,0.0011,0.0149,0.0001,200,0.0230
0.0243,0.0000,0.0000,0.0000,0.0242,0.0001,200,0.0154
0.0042,0.0000,0.0000,0.0001,0.0039,0.0002,200,0.0356
0.0167,0.0000,0.0000,0.0000,0.0163,0.0002,200,0.0235
0.0187,0.0000,0.0000,0.0000,0.0186,0.0001,200,0.0215
0.0223,0.0000,0.0000,0.0000,0.0222,0.0000,200,0.0183
0.0008,0.0000,0.0000,0.0000,0.0007,0.0001,200,0.0402
0.0079,0.0000,0.0000,0.0000,0.0078,0.0001,200,0.0333
0.0257,0.0000,0.0000,0.0002,0.0253,0.0002,200,0.0160
0.0347,0.0000,0.0000,0.0003,0.0290,0.0000,200,0.0070
0.0410,0.0016,0.0000,0.0031,0.0344,0.0001,200,0.0015
0.0157,0.0000,0.0000,0.0000,0.0156,0.0001,200,0.0275
0.0039,0.0000,0.0000,0.0001,0.0037,0.0001,200,0.0397
0.0054,0.0000,0.0000,0.0000,0.0053,0.0001,200,0.0383
0.0023,0.0000,0.0000,0.0000,0.0022,0.0001,200,0.0418
0.0035,0.0000,0.0000,0.0000,0.0034,0.0001,200,0.0412
0.0054,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.0411
0.0153,0.0000,0.0000,0.0000,0.0152,0.0000,200,0.0313
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.0406
0.0278,0.0000,0.0000,0.0001,0.0273,0.0000,200,0.0194
0.0172,0.0000,0.0000,0.0000,0.0169,0.0003,200,0.0313
0.0144,0.0000,0.0000,0.0000,0.0143,0.0000,200,0.0346
0.0106,0.0000,0.0000,0.0000,0.0103,0.0002,200,0.0383
0.0425,0.0064,0.0000,0.0001,0.0357,0.0002,200,0.0074
0.0066,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0432
0.0138,0.0000,0.0000,0.0000,0.0137,0.0000,200,0.0363
0.0095,0.0000,0.0000,0.0000,0.0093,0.0000,200,0.0417
0.0473,0.0006,0.0000,0.0030,0.0436,0.0000,200,0.0042
0.0047,0.0000,0.0000,0.0002,0.0044,0.0000,200,0.0472
0.0154,0.0000,0.0000,0.0000,0.0153,0.0000,200,0.0366
0.0367,0.0000,0.0000,0.0000,0.0367,0.0000,200,0.0153
0.0027,0.0000,0.0000,0.0000,0.0026,0.0001,200,0.0499
0.0045,0.0000,0.0000,0.0001,0.0040,0.0004,200,0.0486
0.0065,0.0000,0.0000,0.0000,0.0063,0.0002,200,0.0466
0.0143,0.0000,0.0000,0.0000,0.0142,0.0000,200,0.0392
0.0099,0.0000,0.0000,0.0001,0.0098,0.0000,200,0.0437
0.0263,0.0000,0.0000,0.0000,0.0262,0.0000,200,0.0275
0.0152,0.0000,0.0000,0.0000,0.0151,0.0000,200,0.0386
0.0077,0.0000,0.0000,0.0000,0.0076,0.0000,200,0.0464
0.0031,0.0000,0.0000,0.0000,0.0030,0.0000,200,0.0515
0.0540,0.0006,0.0000,0.0003,0.0528,0.0001,200,0.0009
0.0239,0.0000,0.0000,0.0000,0.0238,0.0001,200,0.0313
0.0157,0.0000,0.0000,0.0000,0.0149,0.0001,200,0.0399
0.0189,0.0000,0.0000,0.0000,0.0188,0.0001,200,0.0369
0.0122,0.0000,0.0000,0.0000,0.0119,0.0002,200,0.0441
0.0011,0.0000,0.0000,0.0000,0.0010,0.0000,200,0.0552
0.0223,0.0000,0.0000,0.0000,0.0222,0.0001,200,0.0343
0.0237,0.0000,0.0000,0.0000,0.0237,0.0000,200,0.0330
0.0210,0.0000,0.0000,0.0000,0.0210,0.0000,200,0.0359
0.0543,0.0014,0.0000,0.0005,0.0524,0.0000,200,0.0027
0.0248,0.0000,0.0000,0.0000,0.0248,0.0000,200,0.0326
0.0014,0.0000,0.0000,0.0000,0.0013,0.0001,200,0.0563
0.0268,0.0000,0.0000,0.0000,0.0267,0.0000,200,0.0313
0.0118,0.0000,0.0000,0.0000,0.0116,0.0001,200,0.0469
0.0049,0.0000,0.0000,0.0001,0.0048,0.0000,200,0.0537
0.0033,0.0000,0.0000,0.0000,0.0031,0.0001,200,0.0558
0.0053,0.0000,0.0000,0.0000,0.0052,0.0000,200,0.0541
0.0093,0.0000,0.0000,0.0001,0.0092,0.0000,200,0.0501
0.0027,0.0000,0.0000,0.0000,0.0025,0.0002,200,0.0570
0.0356,0.0000,0.0000,0.0000,0.0356,0.0000,200,0.0242
0.0092,0.0000,0.0000,0.0001,0.0089,0.0000,200,0.0513
0.0384,0.0000,0.0000,0.0000,0.0383,0.0000,200,0.0221
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.0591
0.0080,0.0000,0.0000,0.0000,0.0078,0.0002,200,0.0531
0.0074,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.0538
0.0083,0.0000,0.0000,0.0000,0.0082,0.0001,200,0.0535
0.0026,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.0594
0.0017,0.0000,0.0000,0.0000,0.0015,0.0001,200,0.0605
0.0443,0.0000,0.0000,0.0000,0.0443,0.0000,200,0.0181
0.0013,0.0000,0.0000,0.0000,0.0012,0.0000,200,0.0612
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0563
0.0038,0.0000,0.0000,0.0000,0.0036,0.0000,200,0.0594
0.0014,0.0000,0.0000,0.0001,0.0010,0.0001,200,0.0621
0.0044,0.0000,0.0000,0.0000,0.0040,0.0003,200,0.0597
0.0022,0.0000,0.0000,0.0000,0.0019,0.0000,200,0.0620
0.0079,0.0000,0.0000,0.0000,0.0079,0.0000,200,0.0569
0.0318,0.0000,0.0000,0.0000,0.0316,0.0002,200,0.0333
0.0158,0.0000,0.0000,0.0000,0.0144,0.0014,200,0.0499
0.0059,0.0000,0.0000,0.0000,0.0052,0.0003,200,0.0598
0.0144,0.0000,0.0000,0.0001,0.0137,0.0006,200,0.0518
0.0175,0.0000,0.0000,0.0000,0.0171,0.0003,200,0.0489
0.0023,0.0000,0.0000,0.0000,0.0018,0.0004,200,0.0642
0.0283,0.0000,0.0000,0.0000,0.0281,0.0002,200,0.0383
0.0391,0.0000,0.0000,0.0000,0.0381,0.0010,200,0.0276
0.0023,0.0000,0.0000,0.0000,0.0022,0.0000,200,0.0649
0.0054,0.0000,0.0000,0.0000,0.0053,0.0000,200,0.0632
0.0068,0.0000,0.0000,0.0001,0.0047,0.0019,200,0.0618
0.0151,0.0000,0.0000,0.0001,0.0150,0.0000,200,0.0537
0.0241,0.0000,0.0000,0.0000,0.0228,0.0013,200,0.0447
0.0054,0.0000,0.0000,0.0000,0.0054,0.0000,200,0.0635
0.0554,0.0000,0.0000,0.0005,0.0530,0.0000,200,0.0138
