response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0033,0.0004,0.0000,0.0016,0.0011,0.0001,200,0.0012
0.0060,0.0005,0.0000,0.0003,0.0049,0.0000,200,0.0004
0.0065,0.0007,0.0000,0.0003,0.0054,0.0000,200,0.0005
0.0120,0.0005,0.0000,0.0007,0.0107,0.0001,200,0.0015
0.0117,0.0009,0.0000,0.0001,0.0106,0.0000,200,0.0019
0.0134,0.0002,0.0000,0.0001,0.0131,0.0001,200,0.0028
0.0158,0.0005,0.0000,0.0000,0.0143,0.0000,200,0.0017
0.0167,0.0003,0.0000,0.0001,0.0162,0.0000,200,0.0013
0.0140,0.0000,0.0000,0.0000,0.0031,0.0000,200,0.0045
0.0127,0.0069,0.0000,0.0015,0.0039,0.0000,200,0.0063
0.0152,0.0000,0.0000,0.0022,0.0041,0.0000,200,0.0045
0.0134,0.0056,0.0000,0.0018,0.0060,0.0000,200,0.0074
0.0175,0.0000,0.0000,0.0000,0.0111,0.0000,200,0.0036
0.0169,0.0000,0.0000,0.0031,0.0103,0.0000,200,0.0043
0.0179,0.0000,0.0000,0.0029,0.0115,0.0000,200,0.0035
0.0181,0.0035,0.0000,0.0024,0.0121,0.0000,200,0.0033
0.0211,0.0006,0.0000,0.0022,0.0135,0.0046,200,0.0010
0.0017,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.0211
0.0166,0.0066,0.0000,0.0027,0.0044,0.0028,200,0.0068
0.0022,0.0000,0.0000,0.0000,0.0021,0.0000,200,0.0214
0.0205,0.0000,0.0000,0.0000,0.0147,0.0000,200,0.0031
0.0221,0.0012,0.0000,0.0001,0.0207,0.0000,200,0.0016
0.0207,0.0000,0.0000,0.0000,0.0155,0.0000,200,0.0032
0.0062,0.0006,0.0000,0.0014,0.0041,0.0000,200,0.0176
0.0219,0.0023,0.0000,0.0035,0.0160,0.0000,200,0.0021
0.0161,0.0000,0.0000,0.0015,0.0062,0.0000,200,0.0078
0.0178,0.0000,0.0000,0.0000,0.0078,0.0000,200,0.0063
0.0168,0.0000,0.0000,0.0017,0.0082,0.0000,200,0.0074
0.0161,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0083
0.0151,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0093
0.0147,0.0000,0.0000,0.0000,0.0056,0.0008,200,0.0098
0.0034,0.0000,0.0000,0.0000,0.0033,0.0000,200,0.0212
0.0026,0.0000,0.0000,0.0000,0.0026,0.0000,200,0.0221
0.0035,0.0000,0.0000,0.0000,0.0034,0.0000,200,0.0213
0.0151,0.0000,0.0000,0.0001,0.0069,0.0000,200,0.0097
0.0013,0.0000,0.0000,0.0000,0.0012,0.0000,200,0.0248
0.0023,0.0000,0.0000,0.0000,0.0023,0.0000,200,0.0238
0.0035,0.0000,0.0000,0.0000,0.0034,0.0000,200,0.0227
0.0077,0.0000,0.0000,0.0000,0.0014,0.0000,200,0.0186
0.0148,0.0000,0.0000,0.0062,0.0021,0.0000,200,0.0118
0.0045,0.0000,0.0000,0.0001,0.0043,0.0002,200,0.0228
