response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0065,0.0013,0.0000,0.0009,0.0034,0.0004,200,0.0009
0.0066,0.0016,0.0000,0.0009,0.0038,0.0000,200,0.0010
0.0056,0.0008,0.0000,0.0009,0.0038,0.0000,200,0.0020
0.0083,0.0016,0.0000,0.0013,0.0048,0.0001,200,0.0008
0.0085,0.0011,0.0000,0.0009,0.0064,0.0001,200,0.0016
0.0088,0.0013,0.0000,0.0009,0.0065,0.0000,200,0.0016
0.0100,0.0000,0.0000,0.0000,0.0040,0.0000,200,0.0029
0.0080,0.0018,0.0000,0.0016,0.0046,0.0000,200,0.0051
0.0110,0.0004,0.0000,0.0007,0.0098,0.0000,200,0.0023
0.0124,0.0056,0.0000,0.0017,0.0048,0.0000,200,0.0011
0.0111,0.0000,0.0000,0.0000,0.0047,0.0000,200,0.0025
0.0084,0.0016,0.0000,0.0017,0.0051,0.0000,200,0.0054
0.0116,0.0000,0.0000,0.0000,0.0055,0.0000,200,0.0027
0.0119,0.0041,0.0000,0.0017,0.0058,0.0000,200,0.0025
0.0106,0.0031,0.0000,0.0018,0.0057,0.0000,200,0.0039
0.0056,0.0000,0.0000,0.0000,0.0032,0.0000,200,0.0090
0.0026,0.0000,0.0000,0.0000,0.0017,0.0000,200,0.0121
0.0074,0.0000,0.0000,0.0013,0.0036,0.0000,200,0.0076
0.0133,0.0008,0.0000,0.0009,0.0095,0.0020,200,0.0020
0.0045,0.0000,0.0000,0.0000,0.0044,0.0000,200,0.0115
0.0107,0.0021,0.0000,0.0013,0.0072,0.0000,200,0.0079
0.0151,0.0046,0.0000,0.0021,0.0084,0.0001,200,0.0035
0.0153,0.0048,0.0000,0.0020,0.0085,0.0000,200,0.0034
0.0155,0.0050,0.0000,0.0021,0.0083,0.0000,200,0.0032
0.0028,0.0000,0.0000,0.0000,0.0028,0.0000,200,0.0160
0.0038,0.0000,0.0000,0.0000,0.0037,0.0000,200,0.0150
