response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0116,0.0056,0.0000,0.0011,0.0020,0.0023,200,0.0153
0.0136,0.0084,0.0000,0.0001,0.0044,0.0000,200,0.0152
0.0133,0.0000,0.0000,0.0000,0.0016,0.0001,200,0.0155
0.0136,0.0056,0.0000,0.0011,0.0061,0.0000,200,0.0153
0.0137,0.0083,0.0000,0.0000,0.0045,0.0000,200,0.0152
0.0137,0.0057,0.0000,0.0014,0.0058,0.0001,200,0.0153
0.0135,0.0091,0.0000,0.0001,0.0037,0.0000,200,0.0155
0.0151,0.0000,0.0000,0.0000,0.0013,0.0000,200,0.0156
0.0153,0.0100,0.0000,0.0010,0.0036,0.0001,200,0.0155
0.0171,0.0083,0.0000,0.0001,0.0079,0.0000,200,0.0153
0.0178,0.0000,0.0000,0.0001,0.0040,0.0001,200,0.0156
0.0180,0.0086,0.0000,0.0010,0.0077,0.0001,200,0.0154
0.0181,0.0097,0.0000,0.0000,0.0077,0.0000,200,0.0155
0.0181,0.0109,0.0000,0.0001,0.0061,0.0003,200,0.0156
0.0184,0.0078,0.0000,0.0005,0.0094,0.0000,200,0.0153
0.0183,0.0110,0.0000,0.0001,0.0065,0.0000,200,0.0156
0.0185,0.0000,0.0000,0.0001,0.0045,0.0000,200,0.0156
0.0188,0.0096,0.0000,0.0000,0.0085,0.0000,200,0.0155
0.0241,0.0085,0.0000,0.0000,0.0098,0.0000,200,0.0103
0.0200,0.0063,0.0000,0.0018,0.0111,0.0001,200,0.0153
0.0198,0.0000,0.0000,0.0000,0.0057,0.0001,200,0.0156
0.0200,0.0094,0.0000,0.0001,0.0097,0.0002,200,0.0155
0.0201,0.0000,0.0000,0.0000,0.0030,0.0000,200,0.0156
0.0049,0.0000,0.0000,0.0001,0.0025,0.0000,200,0.0308
0.0210,0.0098,0.0000,0.0000,0.0105,0.0001,200,0.0155
0.0211,0.0000,0.0000,0.0008,0.0037,0.0000,200,0.0156
0.0214,0.0085,0.0000,0.0002,0.0119,0.0000,200,0.0154
0.0018,0.0000,0.0000,0.0000,0.0018,0.0000,200,0.0357
0.0087,0.0017,0.0000,0.0021,0.0048,0.0001,200,0.0288
0.0227,0.0062,0.0000,0.0015,0.0141,0.0001,200,0.0153
0.0097,0.0021,0.0000,0.0017,0.0058,0.0000,200,0.0289
0.0235,0.0057,0.0000,0.0029,0.0141,0.0000,200,0.0153
0.0238,0.0093,0.0000,0.0000,0.0138,0.0000,200,0.0154
0.0061,0.0000,0.0000,0.0000,0.0056,0.0001,200,0.0334
0.0032,0.0000,0.0000,0.0002,0.0029,0.0000,200,0.0368
0.0028,0.0000,0.0000,0.0000,0.0023,0.0004,200,0.0379
0.0051,0.0000,0.0000,0.0000,0.0051,0.0000,200,0.0357
0.0254,0.0095,0.0000,0.0000,0.0153,0.0000,200,0.0155
0.0256,0.0111,0.0000,0.0001,0.0138,0.0001,200,0.0156
0.0126,0.0017,0.0000,0.0021,0.0088,0.0000,200,0.0289
0.0096,0.0000,0.0000,0.0000,0.0094,0.0001,200,0.0324
0.0077,0.0000,0.0000,0.0000,0.0077,0.0000,200,0.0343
0.0050,0.0000,0.0000,0.0000,0.0049,0.0000,200,0.0376
0.0097,0.0000,0.0000,0.0000,0.0092,0.0004,200,0.0336
0.0024,0.0000,0.0000,0.0000,0.0023,0.0000,200,0.0409
0.0277,0.0000,0.0000,0.0000,0.0104,0.0000,200,0.0156
0.0339,0.0086,0.0000,0.0001,0.0197,0.0000,200,0.0102
0.0153,0.0034,0.0000,0.0008,0.0107,0.0004,200,0.0289
0.0025,0.0000,0.0000,0.0000,0.0023,0.0000,200,0.0421
0.0298,0.0099,0.0000,0.0000,0.0191,0.0001,200,0.0154
0.0301,0.0085,0.0000,0.0015,0.0193,0.0000,200,0.0153
0.0025,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.0432
0.0305,0.0086,0.0000,0.0009,0.0203,0.0000,200,0.0154
0.0091,0.0000,0.0000,0.0000,0.0090,0.0001,200,0.0376
0.0082,0.0000,0.0000,0.0000,0.0081,0.0000,200,0.0386
0.0119,0.0000,0.0000,0.0000,0.0115,0.0003,200,0.0355
0.0140,0.0000,0.0000,0.0000,0.0138,0.0000,200,0.0334
0.0033,0.0000,0.0000,0.0000,0.0029,0.0004,200,0.0445
0.0376,0.0077,0.0000,0.0004,0.0237,0.0000,200,0.0102
0.0084,0.0000,0.0000,0.0000,0.0083,0.0000,200,0.0399
0.0098,0.0000,0.0000,0.0001,0.0096,0.0000,200,0.0392
0.0336,0.0095,0.0000,0.0001,0.0230,0.0004,200,0.0154
0.0204,0.0017,0.0000,0.0018,0.0169,0.0000,200,0.0290
0.0016,0.0000,0.0000,0.0000,0.0016,0.0000,200,0.0479
0.0039,0.0000,0.0000,0.0000,0.0038,0.0000,200,0.0458
0.0345,0.0000,0.0000,0.0000,0.0207,0.0000,200,0.0156
0.0078,0.0000,0.0000,0.0000,0.0077,0.0000,200,0.0425
0.0140,0.0000,0.0000,0.0000,0.0137,0.0002,200,0.0367
0.0008,0.0000,0.0000,0.0000,0.0007,0.0000,200,0.0504
0.0355,0.0153,0.0000,0.0013,0.0181,0.0000,200,0.0156
0.0059,0.0000,0.0000,0.0000,0.0058,0.0001,200,0.0459
0.0025,0.0000,0.0000,0.0000,0.0024,0.0000,200,0.0496
0.0033,0.0000,0.0000,0.0000,0.0033,0.0000,200,0.0490
0.0160,0.0000,0.0000,0.0000,0.0158,0.0001,200,0.0366
0.0135,0.0000,0.0000,0.0000,0.0130,0.0000,200,0.0395
0.0122,0.0000,0.0000,0.0000,0.0120,0.0002,200,0.0415
0.0204,0.0000,0.0000,0.0000,0.0203,0.0000,200,0.0336
